start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 3):(0, 0)|(3, 3):2:0x77","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):2:0x79","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,12
"(3, 3):(0, 0)|(3, 3):2:0x7a","(50, 24):(0, 0)|(50, 24):15:0x1000003000004000005e0000346001849001949001946000000000000001000006c00006c0000000000360c00360c000800000000002060002060002000000000000c00000c000000000000000000700000100000200000000000000000000000000000000000000c00000c00000000000000000000000000000000000000001e31003f3ac0583840df24407203802c0200080000",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):2:0x7b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):2:0x7c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):2:0x7d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,9
"(3, 3):(0, 0)|(3, 3):2:0x7e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):2:0x7f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,7
"(3, 3):(0, 0)|(3, 3):1:0x85","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):1:0x87","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,13
"(3, 3):(0, 0)|(3, 3):1:0x8c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):1:0x8d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):1:0x8e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):1:0x8f","(3, 3):(0, 0)|(3, 3):0:0x15a",spaceship,4,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):1:0x95","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,12
"(3, 3):(0, 0)|(3, 3):1:0x97","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,12
"(3, 3):(0, 0)|(3, 3):1:0x9c","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):1:0x9d","(3, 3):(0, 0)|(3, 3):1:0xe9",spaceship,4,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):1:0x9e","(24, 50):(0, 0)|(24, 50):46:0x2000000000001c000000000009800000000007c00000000181ec00000000606a00000000001b00000000000280000000000000006000000000001b3800001e01c8c0000007007188300000c0c06c0c000008480300000009b6c000000004410000000000907c00c08000381000302800000000000c000000603000000000240c000000000900000000000180000000000",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):1:0x9f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):1:0xa1","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):1:0xa3","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):1:0xa5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):1:0xa7","(3, 3):(0, 0)|(3, 3):0:0x172",spaceship,4,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):1:0xa9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):1:0xaa","(3, 3):(0, 0)|(3, 3):1:0xaa",stable,0,3,3,54,54,1
"(3, 3):(0, 0)|(3, 3):1:0xab","(3, 3):(0, 0)|(3, 3):1:0xab",stable,0,3,3,54,54,1
"(3, 3):(0, 0)|(3, 3):1:0xac","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):1:0xad","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):1:0xae","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,3,3,54,54,1
"(3, 3):(0, 0)|(3, 3):1:0xaf","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,3,3,54,54,2
