start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):1:0xbfddf9","(16, 41):(0, 0)|(16, 41):13:0x7000000000540000000059000000009380000000b0c0000000c060000000000000000000400006c0003018021800300c0601801820034320021001a660060800120001600000000050000000000800000",survival,0,5,5,16,41,99
"(5, 5):(0, 0)|(5, 5):1:0xbfde3f","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,5,5,13,13,27
"(5, 5):(0, 0)|(5, 5):1:0xbfde5f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):1:0xbfde6f","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,16
"(5, 5):(0, 0)|(5, 5):1:0xbfde77","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,8
"(5, 5):(0, 0)|(5, 5):1:0xbfde7b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):1:0xbfde7d","(15, 17):(0, 0)|(15, 17):12:0x400020001000000001c00000000006000300400018006c00700020001c000",survival,0,5,5,15,17,99
"(5, 5):(0, 0)|(5, 5):1:0xbfde7e","(10, 6):(0, 0)|(10, 6):3:0x10a246000624508",stable,0,5,5,10,6,19
"(5, 5):(0, 0)|(5, 5):1:0xbfde9f","(22, 29):(0, 0)|(22, 29):11:0x410000051400000d8000030180000c18000060c0001b06c031f83f1a4e0039226e0ec810c89842002800b4377616c01b006200000200000000008080000a0a00002020000a10a0006083000004000",survival,0,5,5,22,29,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdeaf","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,16
"(5, 5):(0, 0)|(5, 5):1:0xbfdeb7","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,26
"(5, 5):(0, 0)|(5, 5):1:0xbfdebb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdebd","(35, 22):(0, 0)|(35, 22):13:0x100000600021c0018180040200001000308000d80001e000010000000338000d206008228010ca0072800055c0100000455c017280010ca008228012060038000c0000300100001e0000d8000308000010004020018180021c000060000100",survival,0,5,5,35,22,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdebe","(23, 54):(0, 0)|(23, 54):3:0x700000000000012000000000000480000000000069030000000002a40c0000000001a0000000000000800000000000440000000000004000000408000020000010f000036000004623000000001823180050000060780601100000008024064000000003900e00000000194010000a06006c100000181800084000004000000000000000180400000000006068000000000000c000000000000100",survival,0,5,5,23,54,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdecf","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,10
"(5, 5):(0, 0)|(5, 5):1:0xbfded7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdedb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):1:0xbfdedd","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(5, 5):(0, 0)|(5, 5):1:0xbfdeed","(29, 13):(0, 0)|(29, 13):7:0x2003801a005006c00600016012200b03001f40cc06801200d003003000801000a0040100140020020000000c00600",survival,0,5,5,29,13,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdeee","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,9
"(5, 5):(0, 0)|(5, 5):1:0xbfdef3","(17, 14):(0, 0)|(17, 14):3:0x61818600000001002a0168054008000400a805a01500200000001860618",stable,0,5,5,17,14,53
"(5, 5):(0, 0)|(5, 5):1:0xbfdef5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,33
"(5, 5):(0, 0)|(5, 5):1:0xbfdef6","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,8
"(5, 5):(0, 0)|(5, 5):1:0xbfdef9","(17, 12):(0, 0)|(17, 12):7:0x100380480c606301201c408400a00400400c00d80840440380",survival,0,5,5,17,12,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdf1f","(6, 6):(0, 0)|(6, 6):3:0x189142c30",stable,0,5,5,6,6,16
"(5, 5):(0, 0)|(5, 5):1:0xbfdf2f","(38, 22):(0, 0)|(38, 22):14:0x200001c0000d80040d00283600a00801028000060006198024350007600092b00048c04700028000090000180008000078000230000620000f0000080000000000060000280000200000000000000c000030000038000640001b80003000004c0000e000010000",survival,0,5,5,38,22,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdf37","(42, 42):(0, 0)|(42, 42):16:0x8000000000e00000000026000000000000000031c03e000016752880000c20b16000018e006000000330000000000000000000000000000000000000000000000000000000000000000000000000060000000001800000000000000200000000036000000000c00000000040000000000800000000020000000000440000006011a8000018061c000000024100000000900180000028006000000100000000004000000000c8000c0000320003000017000000000180000000009000000000240000000004800000000240000a0001b0000300002800004000040",survival,0,5,5,42,42,99
